성별,측정일자,키,몸무게,머리둘레,희망치수머리,목둘레,화장,젖가슴둘레,배꼽수준허리둘레,엉덩이둘레,샅높이,발길이,발폭,희망치수신발,몸무게(오른쪽),몸무게(왼쪽),윗가슴둘레(겨드랑이),허리둘레(윗허리),어깨가쪽사이길이,팔길이,등길이,다리가쪽길이,총장
여,2021-06-16,161.1,52.7,55.8,0,34.5,71.2,81,69.2,95.1,73,0,0,235,,,83.4,71.1,48.9,48.9,28,97,135
여,2021-06-16,164.3,62.2,54,0,36.2,85.9,90.8,127.7,96.8,75.5,0,0,245,,,92.3,77.4,49.5,61.6,32,98.5,140.5
여,2021-06-16,161.3,52.1,54.7,0,34.2,81.5,83.3,76.5,92.7,74.5,0,0,240,,,79.2,70.2,42.8,60.5,31,93,134
여,2021-06-16,167,63.5,55.5,0,36.2,72.9,88.8,82.9,98.2,79,0,0,245,,,89.3,77.2,46.3,53.1,37.5,94,141.5
여,2021-06-16,154.7,46.5,57.6,0,32.5,72.9,80.7,68.7,90.2,75,0,0,220,,,81.6,66.1,45,51.8,24.5,95,129.5
여,2021-06-16,169.4,68.6,54.8,0,36.9,65,96.1,88.3,99.5,80.5,0,0,250,,,94.5,80.3,45.5,42.8,33,99.5,142.5
여,2021-06-16,162.7,51,55.5,0,34.1,76,83.1,70.8,93.9,75.5,0,0,245,,,83.6,68.8,45.4,53.3,30,96.5,136.5
여,2021-06-16,162.7,53.1,56.4,0,34.4,75.1,80.9,72.9,91.6,75.5,0,0,240,,,83.8,70.8,43.8,54.4,33,94.5,137.5
여,2021-06-16,164.1,57.2,53.2,0,35.2,70.6,83.9,75.2,92.6,76.5,0,0,240,,,87.5,73.8,50.2,45.4,33,96.5,139.5
여,2021-06-16,158.7,64.5,53.5,0,37.3,66.3,93.4,83.5,100.4,70.5,0,0,235,,,93.1,82.3,56,39,32.5,90.5,133
여,2021-06-16,165.8,57.3,54.1,0,35.1,72.9,81.4,73.1,95.1,73.5,0,0,245,,,5.3,73.2,49.9,49.1,33,94.5,137.5
여,2021-06-16,167.1,56.5,54.2,0,34.9,60.9,84.5,75.3,93.6,80,0,0,240,,,85.4,72,41,41.8,33.5,98.5,142
여,2021-06-16,167.6,61.8,55.4,0,35.8,67.3,86.8,78.7,98.5,77.5,0,0,245,,,87.8,75.3,48,44.6,33.5,96.5,140
여,2021-06-16,167.3,62.9,58.8,0,36,80,90,80.5,96.8,76,0,0,235,,,88.3,76.5,46.1,58.5,34,97,141
여,2021-06-16,160.4,52.3,53.1,0,34.3,71.5,87.8,70.3,90.1,75,0,0,245,,,87.1,70.8,44.3,50.9,31.5,94.5,136
여,2021-06-16,155.9,71,52.8,0,38.4,65.6,98.5,94.1,108.1,65,0,0,230,,,97.3,86.9,47.6,42.1,33,86,129
여,2021-06-16,162.4,51.1,51.7,0,34.1,69.7,81.6,69.6,89.3,77,0,0,0,,,83.6,69.3,43.4,49,28.5,96.5,135
여,2021-06-16,163.5,48.6,55.7,0,33.6,74,78.9,66.9,87.4,78.5,0,0,240,,,79.3,66.4,47.1,51.6,30,98,138
여,2021-06-16,158,51.6,51.1,0,34.3,57,80.9,69.3,95,68,0,0,235,,,84,70.3,43,36.3,25,95,130
여,2021-06-16,168.9,52.8,52.8,0,34.3,0,80.6,70.8,90.2,80,0,0,245,,,85.2,69,0,154,26.9,100.5,137.4
여,2021-06-16,167.9,87.5,55.1,0,40.6,74.2,101.4,93.1,113.8,77.5,0,0,250,,,97.6,96.6,55.7,48.8,34.5,98.5,143
여,2021-06-16,160.2,66.4,54.7,0,37.5,74.1,94.9,83.2,97.9,66.5,0,0,245,,,95.4,82.7,54.2,49.9,33,90,133
여,2021-06-16,158.4,49.2,54.7,0,33.5,72.7,84.1,72.1,92.1,73.5,0,0,230,,,83.8,68.7,47,51.3,31,93,134
여,2021-06-16,170.2,62.3,54.3,0,35.9,69.5,85.7,72.7,98.4,79,0,0,260,,,86.3,74.8,50.7,45.2,33,100,143
여,2021-06-16,172.4,58.5,54.9,0,35.2,71.9,78.7,75.6,97.5,77.5,0,0,250,,,2.5,71.8,15.9,73.2,27.6,95.5,133.1
여,2021-06-16,166.9,67.8,54,0,36.9,82.9,92.9,81.8,100.2,80,0,0,230,,,91.7,80.7,54,59.4,32,98.5,140.5
여,2021-06-16,164.6,58.2,55,0,35.4,79.7,91.3,74.3,97.5,75,0,0,230,,,90.2,74.2,46.8,57.6,31,96,137
여,2021-06-16,162.8,64.8,54.8,0,36.8,67,91.3,75,100.3,77.5,0,0,245,,,93,80.3,48.9,44.1,27.5,99,136.5
여,2021-06-16,160.3,48.8,54.7,0,33.5,74.6,81.1,73.8,91.5,75,0,0,230,,,83.5,66.8,42.2,55.8,32,93,135
여,2021-06-16,168.4,59.5,54.3,0,35.4,68.6,2,73.3,94.1,78,0,0,0,,,89.6,73.5,47.9,46.3,31.5,99,140.5
여,2021-06-16,153.6,54.1,53.3,0,34.4,61.9,86.6,77.5,97.1,69,0,0,230,,,86.4,75.1,44.6,39.1,26.5,89.5,126
여,2021-06-16,161.3,51.4,56.5,0,34.2,73.1,86.3,67.5,94.7,79,0,0,230,,,87.9,70,44,51.8,26.5,99,135.5
여,2021-06-16,158.6,50.3,52,0,33.9,0,84.2,72.2,92.6,73,0,0,205,,,85,69.5,0,152.6,32,91,133
여,2021-06-16,166.1,50.6,54.6,0,33.8,73,79.8,67.7,91.4,78.5,0,0,230,,,81.2,67.5,41.1,52.6,30.5,100,140.5
여,2021-06-16,164,56.1,56.2,0,34.9,72.7,82,67.6,93.5,72.5,0,0,240,,,84,72.9,48.4,49.5,33,94.5,137.5
여,2021-06-16,165.8,50.5,54.7,0,33.8,64.8,78,70.7,91.7,76.5,0,0,240,,,80,67.5,47.9,41,33.5,94,137.5
여,2021-06-16,165.6,63.7,53.7,0,36.3,62.7,90.9,83.1,100.8,76.5,0,0,245,,,92.2,78.1,47.3,39.1,36,93.5,139.5
여,2021-06-16,167.4,52.9,51.6,0,34.3,0,77.9,66.7,91.4,80.5,0,0,0,,,79.1,69.5,0,146.7,32.5,102,144.5
여,2021-06-16,158.5,67.7,56.3,0,37.8,0,104.1,85.9,100.2,71,0,0,240,,,91.5,84.6,0,159.2,40.5,93,143.5
여,2021-06-16,159.3,60.2,56.8,0,36.5,74.8,92.3,79.6,98.4,74.5,0,0,240,,,92.7,78.2,49,51.7,31,93,134
여,2021-06-16,159.6,62.9,53.6,0,36.8,65.2,89.3,78.8,96.8,72,0,0,235,,,91,80.1,56.6,37.2,29.5,94.5,134
여,2021-06-16,173.3,56.6,53.6,0,34.9,69.8,80.5,70.8,95.1,83.5,0,0,240,,,82.8,70.6,47,46.8,30.5,106,146.5
여,2021-06-16,158.6,49.9,51.6,0,33.6,78.2,83.5,68.1,90,73.5,0,0,240,,,84.1,69.3,48.9,54.7,28,95,133
여,2021-06-16,175.9,61.2,53.1,0,35.8,64.7,84.3,79.3,94.9,82.5,0,0,250,,,83.6,73.3,51.7,40.3,39,101.5,150.5
여,2021-06-16,165.2,57.7,55.3,0,35.3,77.3,88.7,73.7,97.9,80,0,0,250,,,90.4,73.7,47.6,54.2,30.5,99,139.5
여,2021-06-16,167.4,54,55.2,0,34.5,59.5,84,68.2,92.3,78,0,0,240,,,85,70.3,42.4,40.2,31.5,99,140.5
여,2021-06-16,164.9,77.2,57.8,0,38.9,77,98.5,85.7,109.8,77,0,0,250,,,97.4,89.6,49.9,53.1,30.5,99.5,140
여,2021-06-16,169.3,51,53.1,0,34.1,73.2,80,71.5,87.9,80.5,0,0,0,,,78.9,67.7,42.2,50.6,30,103.5,143.5
여,2021-06-16,159.7,48.5,52,0,33.5,70.7,73.8,69.9,91.1,73.5,0,0,240,,,78.3,67.4,45,48.5,30.5,93,133.5
여,2021-06-16,166.8,52.9,53.2,0,34.4,76.7,80.6,71.6,92.7,76.5,0,0,240,,,83.2,69.7,39.3,56.4,33,97.5,140.5
여,2021-06-16,168.7,78.8,55.2,0,38.9,76,101.6,89.3,109,79.5,0,0,250,,,99.7,89.7,51.6,51.7,33,101,144
여,2021-06-16,155,45.4,54.4,0,32.5,74.8,76.5,67.2,90.2,73.5,0,0,245,,,79.2,66.1,43,55.6,27.5,92.5,130
여,2021-06-16,164.1,81.4,55.2,0,39.5,81.6,104.5,116.3,114.7,72.5,0,0,245,,,102.4,91.8,52.6,57.7,30,97.5,137.5
여,2021-06-16,164.8,62.2,54.8,0,36.1,76.5,88.4,82.5,95.3,76.5,0,0,250,,,86.3,77,49.8,52.7,33.5,95,138.5
여,2021-06-16,165.3,60.7,54,0,35.7,68.9,90.3,75.6,94.5,81,0,0,245,,,88.5,75.6,55.1,42.7,29.5,100.5,140
여,2021-06-16,166.5,60.1,52.6,0,35.5,75.9,90.8,78.5,99.8,66,0,0,245,,,88.4,74.7,41.6,55.4,31,98.5,139.5
여,2021-06-16,168.1,57,53.9,0,34.9,76.2,87.5,70.3,92.8,79,0,0,0,,,87.6,71.9,46.2,54,34,97,141
여,2021-06-16,165.3,46.9,55.1,0,33.2,81.7,78.2,70.5,88.9,78.5,0,0,250,,,77.9,64.9,46.3,58.8,33,97.5,140.5
여,2021-06-16,171.8,56.4,55.6,0,34.9,77,79.3,78.8,95.6,79.5,0,0,250,,,82.4,70.6,46.4,54.8,37.5,97.5,145
여,2021-06-16,166.3,79.1,59.3,0,39.1,71,100.7,85.2,108.6,81.5,0,0,255,,,102.6,90.5,52,46.4,30,102,142
여,2021-06-16,167.1,72.9,58.1,0,37.9,81.4,106.4,91.7,103.2,78,0,0,245,,,103.1,85.2,59.3,52.8,35.5,95.5,141
여,2021-06-16,162.2,53.3,55.6,0,34.5,71.4,84.1,70.5,97.2,74.5,0,0,240,,,85.6,71.2,43,52.2,30,97,137
여,2021-06-16,162.6,73.1,54.3,0,38.4,81.6,97.3,86.7,103,75.5,0,0,255,,,94.8,87.3,53.2,58.7,34,94,138
여,2021-06-16,168.9,72.4,52.7,0,37.7,74.6,95.9,86,104.3,77,0,0,240,,,95.5,84.2,54.5,48.9,37,94,141
여,2021-06-16,169.6,58.8,54.2,0,35.2,81.9,87.6,79,96.1,79.5,0,0,245,,,88.4,72.6,46.5,60.1,32,99.5,141.5
여,2021-06-16,169.9,63.7,52.5,0,36.1,68.1,88.3,81.2,97.9,79,0,0,240,,,89.9,76.1,49.7,45.2,37.5,96,143.5
여,2021-06-16,166.8,51.4,56.2,0,34.2,75.5,81.2,70.7,91,76,0,0,240,,,84.1,68.7,49,51.4,32.5,97,139.5
여,2021-06-16,165.2,62.9,56.8,0,36.1,73.7,95.6,75.6,102,77,0,0,250,,,96.8,77.5,52.2,49.1,30,97.5,137.5
여,2021-06-16,158.7,61.2,54.4,0,36.4,72.6,94.1,83.6,97.4,66,0,0,250,,,93,78.8,52.1,48.2,35,89,134
여,2021-06-16,163.4,56.5,53.1,0,35,62.8,88.2,78.5,93.9,77,0,0,240,,,86.7,73.4,46.7,41.2,34.5,93,137.5
여,2021-06-16,157.8,62,54.4,0,36.6,74.4,94.6,78.7,98.5,70.5,0,0,240,,,94.4,78.8,48.6,51.1,29.5,92,131.5
여,2021-06-16,167.4,56.2,55.2,0,34.8,72.5,85.7,76.7,95.5,78,0,0,245,,,88.2,71.7,47,51.1,35,95,140
여,2021-06-16,167.4,75.4,56.8,0,38.2,77.8,99.6,88,104.7,72,0,0,240,,,94.4,87.3,47.2,56.2,35,94.5,139.5
여,2021-06-16,161.9,60.8,53,0,36.2,66.8,92.1,77.3,100.4,77.5,0,0,240,,,93.4,77.9,48.5,42.9,32,95.5,137.5
여,2021-03-04,161.3,53,54.3,0,34.4,73.2,86.9,75.1,95,75.5,0,0,230,,,89,71.3,47.2,53.1,32.5,92,134.5
여,2021-03-04,166.9,49.8,54.6,0,33.7,77.5,78.6,67.4,91.1,78.5,0,0,240,,,83.1,67,43.1,56.3,32,98.5,140.5
여,2021-03-04,158.2,56.4,54.8,0,35.9,73.7,89.8,77.3,97.7,71.5,0,0,220,,,90.7,75.4,49.7,51.5,31.5,90.5,132
여,2021-03-04,176,62.6,56.3,0,35.9,70.7,83.5,78,97.4,81.5,0,0,255,,,86,73.7,49.8,47.2,36.5,102.5,149
여,2021-03-04,165.6,63.2,56.6,0,36.2,75.2,91.6,79,101.2,76.5,0,0,230,,,91.9,77.6,50.4,52.5,31.5,97,138.5
여,2021-03-04,159.3,46,54.1,0,33,72,80.5,68.4,87.6,75.5,0,0,235,,,83.3,65.5,42.9,50.6,29,93.5,132.5
여,2021-03-04,179.6,66.8,56.3,0,36.3,81.1,92.3,82.1,97.5,87,0,0,260,,,92.2,75.8,48.4,57.9,36,105.5,151.5
여,2021-03-04,160.5,61.5,55.4,0,36.5,74.8,88.9,76.7,97.6,73.5,0,0,245,,,88.7,78.7,49.5,50.3,33.5,91,134.5
여,2021-03-04,164.9,54.4,56.1,0,34.6,71,81,69.7,92.7,75.5,0,0,0,,,85.1,71,46.9,49,33,94.5,137.5
여,2021-03-04,168.8,57.3,54,0,35,83.7,82.9,82.3,97.9,81.5,0,0,250,,,83.4,71.9,49.4,58.3,36.5,96.5,143
여,2021-03-04,162.8,50.6,54.5,0,33.9,74.8,83.6,64.5,88.5,73,0,0,225,,,83.2,68,42.4,54.7,31.5,93.5,135
여,2021-03-04,166.8,60.4,57.9,0,35.6,74.7,82.3,75.2,94.5,76.5,0,0,250,,,87.1,74.6,51.5,49.3,31,99,140
여,2021-03-04,165.8,67.6,56,0,36.9,75.3,95.6,81.9,99.6,76.5,0,0,245,,,96,81,52.4,49.7,30.5,97.5,138
여,2021-03-04,168.3,87.5,59.2,0,40.5,0,106.1,99.3,116.6,76.5,0,0,245,,,104.4,95.8,0,146.5,28.8,99.5,138.3
여,2021-03-04,165.4,55.8,55.4,0,34.9,61.1,82.4,78.9,97.3,78.5,0,0,240,,,86.7,72.2,47.3,39.7,34.5,94.5,139
여,2021-03-04,162.4,51.7,56.6,0,34.3,73.6,108.4,69.4,92.3,73,0,0,230,,,88.3,69.9,43.8,53.3,29.5,94.5,134
여,2021-03-04,160.2,55.7,55.8,0,35.2,71.8,84.2,72.4,94.5,74,0,0,235,,,84.4,74.2,46.5,48,31.5,94,135.5
여,2021-03-04,164,49.9,53.9,0,33.7,78.8,82.4,62.7,92,77,0,0,245,,,84.5,67.5,44.3,58.3,29,98,137
여,2021-03-04,159.8,51.8,53.3,0,34.4,74.3,82.4,65.2,94.7,73,0,0,235,,,83.4,71.2,44.8,53.3,24,98.5,132.5
여,2021-03-04,158.4,56.1,53.6,0,35.8,74.7,87.9,75,99.8,74.5,0,0,235,,,84.7,75,49.5,51.1,27.5,95,132.5
여,2021-03-04,165.6,78.6,56.6,0,39.2,78.8,101.8,88.9,109.1,76,0,0,250,,,99.8,90.4,51.7,51.7,29,101,140
여,2021-03-04,158.5,68.9,57,0,38.1,70.6,86.2,85.2,101.4,71,0,0,245,,,90.9,85.3,55.3,41.7,30,91.5,131.5
여,2021-03-04,159.7,45.1,56.1,0,33,62.2,80.7,64.7,88.8,73.5,0,0,230,,,80.7,63.9,41.3,40.6,26.5,96.5,133
여,2021-03-04,166.3,55.9,54,0,34.9,62.8,93.6,74.8,92.8,78,0,0,235,,,90.2,71.9,49.4,39,32,96.5,138.5
여,2021-03-04,162.7,45.8,53.3,0,33.1,71.7,78.5,68.2,87.1,78,0,0,235,,,80.4,64.3,38,51.9,29,97.5,136.5
여,2021-03-04,162.3,48.7,54.8,0,33.5,68.6,82,68.9,91.6,75.5,0,0,245,,,82.4,66.8,41.2,48.5,29,95.5,134.5
여,2021-03-04,164,53.4,54.7,0,34.5,73.1,81.9,77.8,93.1,78,0,0,240,,,81.6,70.9,45.2,51.1,34,94.5,138.5
여,2021-03-04,157.8,54.6,54.2,0,35.4,67.2,85.8,75.1,94.8,70.5,0,0,230,,,87.6,74,47.6,46.9,29.5,91.5,131
여,2021-03-04,161.1,54.5,53.1,0,34.7,77.5,86.9,72.8,99,75,0,0,230,,,88.2,72.4,45.2,40.6,50.5,94.5,155
여,2021-03-04,162.6,65.5,56.8,0,36.9,76,94.5,85.4,100.9,73.5,0,0,0,,,93.5,81,54,50.2,32,95,137
여,2021-03-04,159.1,61.7,55,0,36.5,72.8,99.7,86.5,98,71.5,0,0,240,,,98.9,79,44.6,52.5,33,88.5,131.5
여,2021-03-04,160.6,52.6,53.6,0,34.5,67.8,87.2,66.1,94.1,74.5,0,0,240,,,86.6,71.1,44.5,46.8,28,96,134
여,2021-03-04,164.9,50.8,55.4,0,33.8,74.4,83,76.3,90.8,70,0,0,245,,,83.5,67.8,37.2,56.3,35,94.5,139.5
여,2021-03-04,161.2,56.7,56.3,0,35.3,79.3,95,77,95.2,75,0,0,245,,,93.1,74.6,47.3,56.1,30.5,93,133.5
여,2021-03-04,162.4,51.1,54.6,0,34.1,61.7,94.2,71.2,92.5,76,0,0,240,,,84.8,69.3,40.4,42.4,32,94.5,136.5
여,2021-03-04,170.2,55.3,55.1,0,34.7,81.5,86,71.7,89.9,80,0,0,0,,,82,70.5,46.7,61.3,32,101.5,143.5
여,2021-03-04,163.7,49.9,54.9,0,33.7,74.3,85.9,70.2,89,78.5,0,0,240,,,87.8,67.7,41.9,52.1,32.5,95.5,138
여,2021-03-04,169.8,66.9,54.4,0,36.6,76.8,95.3,83.7,101.9,82,0,0,0,,,94.8,78.6,46.7,54.3,28.5,103,141.5
여,2021-03-04,166,51.9,53.8,0,34.1,68.3,81.6,73.9,94.2,79.5,0,0,225,,,78.8,69.1,44.9,46.1,30,97,137
여,2021-03-04,169.8,67.2,55.4,0,36.7,66,89.1,86.3,105,79,0,0,245,,,36.9,79,52.1,38.7,32.5,99,141.5
여,2021-03-04,158.5,49.4,54.2,0,33.6,64.1,80,70.9,86.8,72,0,0,225,,,83.4,69,48,41.8,32,88.5,130.5
여,2021-03-04,161.6,56.1,55,0,35.2,72.8,85,77.6,99.4,74,0,0,245,,,85.3,73.7,44.7,51.2,30,93,133
여,2021-03-04,160.3,48.1,52.8,0,33.2,76.8,83,70.8,89,74,0,0,240,,,85.6,66.2,48.2,55.5,30,94.5,134.5
여,2021-03-04,162.3,64.5,55.1,0,36.9,67,99.1,79,99.1,75.5,0,0,240,,,98.1,80.4,52.1,42.5,30.5,95,135.5
여,2021-03-04,174.9,61.6,57.1,0,35.8,68.2,86.7,71.7,100.8,85.5,0,0,245,,,88.1,73.4,48.2,45.1,27.5,112,149.5
여,2021-03-04,160.9,51.2,53.7,0,34.2,74.8,81.8,73,94.8,74.5,0,0,225,,,85.6,70,48.6,52,28.5,96,134.5
여,2021-03-04,175.7,59.4,57.8,0,35.4,66.4,87,78.8,100.8,81,0,0,245,,,86.7,72.1,46.4,45.8,38.5,100,148.5
여,2021-03-04,169,51.3,55.5,0,34.1,82.3,79.3,65.2,93.1,82,0,0,240,,,80.7,67.9,47.8,60.4,30,101.5,141.5
여,2021-03-04,169.5,52.1,55.1,0,34.2,72.8,81.2,69.6,94.7,78,0,0,235,,,81.2,68.2,45.1,50.8,30,101,141
여,2021-03-04,170.4,65.6,54.8,0,36.4,73.4,90.3,75.2,103.4,81,0,0,240,,,88.7,77.3,43.8,52.1,31.5,102.5,144
여,2021-03-04,162.4,63.5,56.2,0,36.6,80,91.8,74.4,101,74,0,0,240,,,94.6,79.6,54.5,54.9,30,97,137
여,2021-03-04,164.9,47,54.8,0,33.2,71.6,75.8,64.2,90.4,76.5,0,0,0,,,81.8,64.9,43,50.3,29,98,137
여,2021-03-04,159.4,58.3,54.2,0,36.1,64.5,88.8,79.3,98.9,72,0,0,0,,,89.8,76.4,42.6,44.3,32.5,89.5,132
여,2021-03-04,161.8,49.2,52.3,0,33.5,63.5,78.8,65.5,91.2,76,0,0,245,,,82.7,67,50.6,38.7,29,95.5,134.5
여,2021-03-04,157.9,46.3,56.5,0,32.9,73.8,84.8,66.8,87.3,75,0,0,235,,,83,65.8,42.2,53.8,27,95,132
여,2021-03-04,169,56.2,54.3,0,34.8,71,82.2,74.6,98.4,77.5,0,0,240,,,82.5,71.2,45.2,48.8,33,98,141
여,2021-03-04,159.9,59.1,56.7,0,36.1,71,85.9,76.8,95.3,71.5,0,0,240,,,88.3,77,48,48.5,32,90,132
여,2021-03-04,169.2,52.5,55.3,0,34.3,84.9,85.2,71.5,93.2,79.5,0,0,240,,,85.1,68.6,52.1,57.7,29.5,101.5,141
여,2021-03-04,169,59.3,54.5,0,35.3,77.9,85.6,74.4,101.5,77,0,0,240,,,86.6,73.1,42.4,57,33,98.5,141.5
여,2021-03-04,167.5,66.1,54.6,0,36.6,68.6,88.9,84.1,100.2,71,0,0,250,,,89.3,78.9,48.9,45.4,37.5,93.5,141
여,2021-03-04,164.4,51.2,56.9,0,34,77.4,80.3,65.3,93.8,75,0,0,245,,,81.4,69,39.2,58.3,31,96.5,137.5
